host,para,weight
h_OG0002090,p_OG0000294,4
h_OG0011514,p_OG0000294,4
h_OG0000800,p_OG0000295,5
h_OG0004047,p_OG0000295,5
h_OG0005385,p_OG0000295,4
h_OG0005416,p_OG0000295,4
h_OG0006751,p_OG0000295,3
h_OG0007797,p_OG0000295,5
h_OG0008889,p_OG0000295,4
h_OG0009951,p_OG0000295,4
h_OG0010566,p_OG0000295,4
h_OG0010844,p_OG0000295,4
h_OG0010893,p_OG0000295,3
h_OG0011270,p_OG0000295,4
h_OG0012088,p_OG0000295,4
h_OG0013177,p_OG0000295,5
h_OG0013898,p_OG0000295,5
h_OG0003834,p_OG0000296,4
h_OG0004829,p_OG0000296,5
h_OG0000147,p_OG0000297,4
h_OG0000256,p_OG0000297,4
h_OG0000746,p_OG0000297,4
h_OG0002319,p_OG0000297,3
h_OG0002372,p_OG0000297,3
h_OG0006341,p_OG0000297,4
h_OG0006691,p_OG0000297,4
h_OG0007797,p_OG0000297,4
h_OG0008080,p_OG0000297,4
h_OG0008118,p_OG0000297,4
h_OG0008931,p_OG0000297,4
h_OG0009045,p_OG0000297,4
h_OG0009469,p_OG0000297,5
h_OG0009951,p_OG0000297,4
h_OG0011155,p_OG0000297,5
h_OG0011270,p_OG0000297,4
h_OG0012382,p_OG0000297,4
h_OG0012406,p_OG0000297,4
h_OG0013177,p_OG0000297,4
h_OG0013448,p_OG0000297,4
h_OG0013974,p_OG0000297,4
h_OG0005185,p_OG0000301,4
h_OG0010118,p_OG0000301,3
h_OG0012646,p_OG0000301,4
h_OG0003834,p_OG0000302,4
h_OG0005185,p_OG0000302,4
h_OG0005563,p_OG0000303,5
h_OG0011270,p_OG0000303,4
h_OG0012617,p_OG0000303,5
h_OG0005648,p_OG0000304,4
h_OG0006691,p_OG0000304,4
h_OG0001139,p_OG0000306,4
h_OG0002090,p_OG0000311,4
h_OG0003834,p_OG0000311,4
h_OG0003975,p_OG0000311,5
h_OG0004264,p_OG0000311,4
h_OG0006022,p_OG0000311,5
h_OG0013725,p_OG0000311,5
h_OG0010479,p_OG0000312,4
h_OG0009283,p_OG0000314,5
h_OG0001792,p_OG0000315,4
h_OG0000095,p_OG0000316,4
h_OG0002319,p_OG0000316,3
h_OG0004702,p_OG0000316,4
h_OG0006031,p_OG0000316,3
h_OG0007059,p_OG0000316,4
h_OG0012266,p_OG0000316,4
h_OG0007039,p_OG0000317,3
h_OG0013012,p_OG0000317,4
h_OG0007740,p_OG0000318,5
h_OG0000423,p_OG0000320,4
h_OG0003834,p_OG0000320,4
h_OG0003884,p_OG0000320,4
h_OG0003834,p_OG0000321,4
h_OG0007059,p_OG0000321,4
h_OG0000853,p_OG0000322,4
h_OG0001792,p_OG0000322,4
h_OG0003834,p_OG0000322,4
h_OG0005185,p_OG0000323,4
h_OG0003884,p_OG0000329,4
h_OG0005185,p_OG0000331,4
h_OG0010118,p_OG0000331,4
h_OG0002534,p_OG0000333,4
h_OG0005385,p_OG0000333,4
h_OG0006691,p_OG0000333,5
h_OG0006824,p_OG0000333,4
h_OG0011845,p_OG0000333,5
h_OG0013971,p_OG0000333,4
h_OG0003834,p_OG0000334,4
h_OG0012266,p_OG0000334,4
h_OG0008996,p_OG0000335,4
h_OG0008749,p_OG0000336,5
h_OG0012628,p_OG0000336,4
h_OG0013086,p_OG0000336,4
h_OG0000941,p_OG0000339,5
h_OG0001792,p_OG0000339,4
h_OG0002090,p_OG0000339,5
h_OG0003523,p_OG0000339,4
h_OG0003834,p_OG0000339,4
h_OG0003987,p_OG0000339,4
h_OG0004264,p_OG0000339,5
h_OG0005185,p_OG0000339,4
h_OG0006022,p_OG0000339,6
h_OG0007324,p_OG0000339,4
h_OG0009168,p_OG0000339,4
h_OG0010794,p_OG0000339,5
h_OG0005185,p_OG0000340,4
h_OG0007059,p_OG0000341,4
h_OG0012505,p_OG0000341,4
h_OG0000095,p_OG0000346,4
h_OG0000423,p_OG0000346,4
h_OG0003884,p_OG0000346,4
h_OG0012266,p_OG0000347,5
h_OG0012322,p_OG0000347,3
h_OG0000095,p_OG0000348,4
h_OG0003834,p_OG0000348,4
h_OG0004702,p_OG0000348,4
h_OG0007059,p_OG0000348,4
h_OG0009595,p_OG0000348,4
h_OG0009900,p_OG0000348,4
h_OG0012266,p_OG0000348,4
h_OG0003045,p_OG0000349,4
h_OG0007740,p_OG0000349,5
h_OG0009614,p_OG0000349,4
h_OG0003884,p_OG0000353,4
h_OG0010678,p_OG0000353,3
h_OG0003642,p_OG0000354,5
h_OG0007059,p_OG0000354,4
h_OG0012266,p_OG0000354,4
h_OG0007059,p_OG0000355,5
h_OG0000256,p_OG0000356,4
h_OG0002319,p_OG0000356,3
h_OG0003642,p_OG0000356,4
h_OG0004428,p_OG0000356,4
h_OG0004702,p_OG0000356,4
h_OG0004992,p_OG0000356,4
h_OG0005135,p_OG0000356,4
h_OG0005972,p_OG0000356,4
h_OG0006366,p_OG0000356,4
h_OG0006389,p_OG0000356,4
h_OG0006717,p_OG0000356,4
h_OG0006909,p_OG0000356,4
h_OG0007059,p_OG0000356,4
h_OG0007967,p_OG0000356,4
h_OG0008189,p_OG0000356,4
h_OG0010416,p_OG0000356,4
h_OG0012266,p_OG0000356,4
h_OG0012505,p_OG0000356,4
h_OG0001217,p_OG0000357,4
h_OG0006691,p_OG0000357,4
h_OG0006975,p_OG0000357,4
h_OG0008080,p_OG0000357,4
h_OG0013974,p_OG0000357,4
h_OG0014015,p_OG0000357,4
h_OG0000476,p_OG0000358,4
h_OG0000585,p_OG0000358,4
h_OG0000598,p_OG0000358,4
h_OG0002319,p_OG0000358,3
h_OG0003642,p_OG0000358,4
h_OG0004702,p_OG0000358,4
h_OG0004744,p_OG0000358,4
h_OG0004993,p_OG0000358,5
h_OG0005135,p_OG0000358,4
h_OG0005385,p_OG0000358,4
h_OG0005546,p_OG0000358,5
h_OG0005820,p_OG0000358,4
h_OG0006051,p_OG0000358,4
h_OG0006896,p_OG0000358,4
h_OG0007059,p_OG0000358,4
h_OG0008727,p_OG0000358,4
h_OG0009595,p_OG0000358,4
h_OG0011266,p_OG0000358,4
h_OG0012266,p_OG0000358,4
h_OG0012427,p_OG0000358,3
h_OG0013031,p_OG0000358,4
h_OG0003834,p_OG0000366,4
h_OG0005185,p_OG0000366,5
h_OG0008996,p_OG0000366,4
h_OG0012646,p_OG0000366,4
h_OG0000095,p_OG0000367,4
h_OG0000256,p_OG0000367,4
h_OG0002319,p_OG0000367,3
h_OG0003642,p_OG0000367,4
h_OG0004702,p_OG0000367,4
h_OG0004992,p_OG0000367,4
h_OG0006341,p_OG0000367,4
h_OG0006389,p_OG0000367,4
h_OG0006691,p_OG0000367,4
h_OG0006717,p_OG0000367,4
h_OG0007059,p_OG0000367,4
h_OG0007967,p_OG0000367,4
h_OG0008118,p_OG0000367,4
h_OG0008189,p_OG0000367,4
h_OG0008631,p_OG0000367,4
h_OG0009951,p_OG0000367,4
h_OG0010209,p_OG0000367,5
h_OG0010416,p_OG0000367,4
h_OG0012266,p_OG0000367,4
h_OG0012427,p_OG0000367,3
h_OG0012505,p_OG0000367,5
h_OG0013974,p_OG0000367,4
h_OG0014015,p_OG0000367,3
h_OG0003834,p_OG0000368,4
h_OG0012617,p_OG0000371,4
h_OG0000256,p_OG0000377,4
h_OG0002010,p_OG0000377,4
h_OG0002319,p_OG0000377,3
h_OG0002534,p_OG0000377,4
h_OG0003642,p_OG0000377,5
h_OG0003930,p_OG0000377,4
h_OG0004393,p_OG0000377,4
h_OG0004428,p_OG0000377,4
h_OG0004702,p_OG0000377,4
h_OG0004744,p_OG0000377,4
h_OG0005135,p_OG0000377,5
h_OG0006051,p_OG0000377,4
h_OG0006366,p_OG0000377,4
h_OG0007059,p_OG0000377,4
h_OG0007138,p_OG0000377,4
h_OG0009455,p_OG0000377,4
h_OG0009666,p_OG0000377,5
h_OG0010416,p_OG0000377,4
h_OG0010648,p_OG0000377,4
h_OG0012266,p_OG0000377,4
h_OG0012834,p_OG0000377,4
h_OG0000423,p_OG0000380,4
h_OG0003884,p_OG0000380,4
h_OG0003930,p_OG0000380,4
h_OG0009455,p_OG0000380,4
h_OG0010678,p_OG0000380,3
h_OG0003884,p_OG0000381,4
h_OG0003930,p_OG0000381,4
h_OG0002090,p_OG0000391,4
h_OG0003975,p_OG0000391,4
h_OG0006022,p_OG0000391,5
h_OG0011514,p_OG0000391,4
h_OG0007740,p_OG0000395,5
h_OG0000256,p_OG0000397,4
h_OG0000305,p_OG0000397,4
h_OG0004702,p_OG0000397,4
h_OG0005280,p_OG0000397,4
h_OG0005385,p_OG0000397,4
h_OG0005563,p_OG0000397,4
h_OG0006341,p_OG0000397,4
h_OG0006764,p_OG0000397,3
h_OG0008118,p_OG0000397,4
h_OG0008996,p_OG0000397,4
h_OG0010652,p_OG0000397,5
h_OG0012266,p_OG0000397,4
h_OG0012269,p_OG0000397,4
h_OG0014015,p_OG0000397,3
h_OG0005185,p_OG0000404,4
h_OG0010118,p_OG0000404,4
h_OG0000640,p_OG0000409,4
h_OG0001544,p_OG0000409,4
h_OG0001792,p_OG0000409,4
h_OG0002090,p_OG0000409,4
h_OG0002223,p_OG0000409,5
h_OG0003505,p_OG0000409,4
h_OG0003834,p_OG0000409,4
h_OG0003975,p_OG0000409,4
h_OG0004774,p_OG0000409,5
h_OG0005135,p_OG0000409,4
h_OG0005495,p_OG0000409,4
h_OG0005639,p_OG0000409,4
h_OG0006022,p_OG0000409,5
h_OG0007089,p_OG0000409,4
h_OG0008416,p_OG0000409,3
h_OG0008996,p_OG0000409,4
h_OG0009260,p_OG0000409,5
h_OG0010263,p_OG0000409,4
h_OG0010794,p_OG0000409,6
h_OG0011514,p_OG0000409,4
h_OG0012266,p_OG0000409,4
h_OG0012646,p_OG0000409,4
h_OG0013554,p_OG0000409,4
h_OG0000376,p_OG0000410,4
h_OG0004990,p_OG0000410,4
h_OG0006175,p_OG0000410,4
h_OG0007758,p_OG0000410,4
h_OG0008394,p_OG0000410,4
h_OG0011368,p_OG0000410,5
h_OG0001792,p_OG0000411,4
h_OG0005647,p_OG0000411,4
h_OG0009168,p_OG0000411,4
h_OG0000256,p_OG0000413,4
h_OG0000746,p_OG0000413,4
h_OG0002319,p_OG0000413,3
h_OG0002432,p_OG0000413,4
h_OG0003884,p_OG0000413,4
h_OG0006341,p_OG0000413,4
