Host,Parasite,Weight
ENSG00000123064,PBANKA_130960,7
ENSG00000132361,PBANKA_121870,7
ENSG00000123064,PBANKA_061630,7
ENSG00000157181,PBANKA_051810,7
ENSG00000169814,PBANKA_101620,7
ENSG00000132361,PBANKA_140590,6
ENSG00000123064,PBANKA_141350,6
ENSG00000125531,PBANKA_141810,6
ENSG00000125531,PBANKA_141820,6
ENSG00000132361,PBANKA_141840,6
ENSG00000007516,PBANKA_142020,6
ENSG00000132361,PBANKA_142210,6
ENSG00000147383,PBANKA_142580,6
ENSG00000126107,PBANKA_142780,6
ENSG00000132361,PBANKA_142780,6
ENSG00000136286,PBANKA_143310,6
ENSG00000132361,PBANKA_143320,6
ENSG00000118246,PBANKA_143390,6
ENSG00000110719,PBANKA_143710,6
ENSG00000140990,PBANKA_143880,6
ENSG00000118246,PBANKA_143960,6
ENSG00000163655,PBANKA_143970,6
ENSG00000230124,PBANKA_144240,6
ENSG00000083750,PBANKA_144350,6
ENSG00000129197,PBANKA_144560,6
ENSG00000125531,PBANKA_145190,6
ENSG00000132361,PBANKA_145470,6
ENSG00000181038,PBANKA_145520,6
ENSG00000185105,PBANKA_146120,6
ENSG00000163655,PBANKA_146260,6
ENSG00000132361,PBANKA_090580,6
ENSG00000020633,PBANKA_090580,6
ENSG00000125531,PBANKA_090580,6
ENSG00000123064,PBANKA_090870,6
ENSG00000105401,PBANKA_091140,6
ENSG00000083750,PBANKA_091470,6
ENSG00000185105,PBANKA_092150,6
ENSG00000129197,PBANKA_093670,6
ENSG00000169814,PBANKA_093670,6
ENSG00000083750,PBANKA_093890,6
ENSG00000083750,PBANKA_093960,6
ENSG00000123992,PBANKA_130060,6
ENSG00000140990,PBANKA_130600,6
ENSG00000125531,PBANKA_130880,6
ENSG00000123143,PBANKA_130960,6
ENSG00000172893,PBANKA_131000,6
ENSG00000103642,PBANKA_131000,6
ENSG00000160712,PBANKA_131100,6
ENSG00000083750,PBANKA_131100,6
ENSG00000129197,PBANKA_131340,6
ENSG00000123610,PBANKA_131410,6
ENSG00000123992,PBANKA_131800,6
ENSG00000132361,PBANKA_132290,6
ENSG00000123064,PBANKA_132650,6
ENSG00000204344,PBANKA_134800,6
ENSG00000123992,PBANKA_135160,6
ENSG00000126107,PBANKA_135280,6
ENSG00000181038,PBANKA_135640,6
ENSG00000132361,PBANKA_135950,6
ENSG00000185105,PBANKA_136070,6
ENSG00000132361,PBANKA_136090,6
ENSG00000188162,PBANKA_010230,6
ENSG00000083750,PBANKA_010920,6
ENSG00000181038,PBANKA_120340,6
ENSG00000138028,PBANKA_120770,6
ENSG00000181038,PBANKA_120850,6
ENSG00000185105,PBANKA_121380,6
ENSG00000132361,PBANKA_121740,6
ENSG00000149636,PBANKA_122070,6
ENSG00000131067,PBANKA_122240,6
ENSG00000198856,PBANKA_122240,6
ENSG00000148158,PBANKA_122240,6
ENSG00000185614,PBANKA_122240,6
ENSG00000134954,PBANKA_122240,6
ENSG00000179715,PBANKA_122240,6
ENSG00000159753,PBANKA_122240,6
ENSG00000064763,PBANKA_122240,6
ENSG00000187240,PBANKA_122240,6
ENSG00000179364,PBANKA_122240,6
ENSG00000102245,PBANKA_122240,6
ENSG00000108262,PBANKA_122240,6
ENSG00000198851,PBANKA_122240,6
ENSG00000173418,PBANKA_123005,6
ENSG00000169814,PBANKA_123005,6
ENSG00000185105,PBANKA_123940,6
ENSG00000149294,PBANKA_124300,6
ENSG00000132361,PBANKA_124370,6
ENSG00000163655,PBANKA_124470,6
