parasite_GO	host_GO
GO:0006367_transcription initiation from RNA polyme...	GO:0006508_proteolysis
GO:0006367_transcription initiation from RNA polyme...	GO:0006790_sulfur compound metabolic process
GO:0006367_transcription initiation from RNA polyme...	GO:0006869_lipid transport
GO:0006367_transcription initiation from RNA polyme...	GO:0007155_cell adhesion
GO:0006367_transcription initiation from RNA polyme...	GO:0008033_tRNA processing
GO:0006367_transcription initiation from RNA polyme...	GO:0009653_anatomical structure morphogenesis
GO:0006367_transcription initiation from RNA polyme...	GO:0010035_response to inorganic substance
GO:0006367_transcription initiation from RNA polyme...	GO:0010467_gene expression
GO:0006367_transcription initiation from RNA polyme...	GO:0010951_negative regulation of endopeptidase act...
GO:0006367_transcription initiation from RNA polyme...	GO:0019359_nicotinamide nucleotide biosynthetic pro...
GO:0006367_transcription initiation from RNA polyme...	GO:0019725_cellular homeostasis
GO:0006367_transcription initiation from RNA polyme...	GO:0030335_positive regulation of cell migration
GO:0006367_transcription initiation from RNA polyme...	GO:0030520_intracellular estrogen receptor signalin...
GO:0006367_transcription initiation from RNA polyme...	GO:0030855_epithelial cell differentiation
GO:0006367_transcription initiation from RNA polyme...	GO:0031398_positive regulation of protein ubiquitin...
GO:0006367_transcription initiation from RNA polyme...	GO:0031647_regulation of protein stability
GO:0006367_transcription initiation from RNA polyme...	GO:0032680_regulation of tumor necrosis factor prod...
GO:0006367_transcription initiation from RNA polyme...	GO:0036297_interstrand cross-link repair
GO:0006367_transcription initiation from RNA polyme...	GO:0042403_thyroid hormone metabolic process
GO:0006367_transcription initiation from RNA polyme...	GO:0043171_peptide catabolic process
GO:0006367_transcription initiation from RNA polyme...	GO:0043244_regulation of protein-containing complex...
GO:0006367_transcription initiation from RNA polyme...	GO:0043966_histone H3 acetylation
GO:0006367_transcription initiation from RNA polyme...	GO:0045444_fat cell differentiation
GO:0006367_transcription initiation from RNA polyme...	GO:0045669_positive regulation of osteoblast differ...
GO:0006367_transcription initiation from RNA polyme...	GO:0046031_ADP metabolic process
GO:0006367_transcription initiation from RNA polyme...	GO:0046621_negative regulation of organ growth
GO:0006367_transcription initiation from RNA polyme...	GO:0048806_genitalia development
GO:0006367_transcription initiation from RNA polyme...	GO:0050435_amyloid-beta metabolic process
GO:0006367_transcription initiation from RNA polyme...	GO:0050678_regulation of epithelial cell proliferat...
GO:0006367_transcription initiation from RNA polyme...	GO:0050863_regulation of T cell activation
