Host.h	Host.human	Host.mouse	Host.monkey	Parasite.p	Parasite.Pchabaudi	Parasite.Pvivax	Parasite.Pberghei	Parasite.Pfalciparum	Parasite.Pcoatneyi	Parasite.Pcynomolgi	Parasite.Pyoelii	Weight
h_OG0000008	ENSG00000198840	ENSMUSG00000064360	ENSMMUG00000028680	p_OG0000297	PCHAS_140310	PVX_121975	PBANKA_140120	PF3D7_1302700	PCOAH_00037490	PCYB_141220	PY17X_1402800	4
h_OG0000008	ENSG00000198840	ENSMUSG00000064360	ENSMMUG00000028680	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000016	ENSG00000137177	ENSMUSG00000021375	ENSMMUG00000010731	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000016	ENSG00000137177	ENSMUSG00000021375	ENSMMUG00000010731	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	5
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000020	ENSG00000167193	ENSMUSG00000017776	ENSMMUG00000040390	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000043	ENSG00000198690	ENSMUSG00000033458	ENSMMUG00000009426	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000043	ENSG00000198690	ENSMUSG00000033458	ENSMMUG00000009426	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000043	ENSG00000198690	ENSMUSG00000033458	ENSMMUG00000009426	p_OG0000298	PCHAS_140320	PVX_121980	PBANKA_140130	PF3D7_1302800	PCOAH_00037500	PCYB_141230	PY17X_1402900	4
h_OG0000044	ENSG00000180011	ENSMUSG00000049090	ENSMMUG00000014915	p_OG0000303	PCHAS_140380	PVX_122010	PBANKA_140190	PF3D7_1303400	PCOAH_00037560	PCYB_141290	PY17X_1403500	4
h_OG0000060	ENSG00000031823	ENSMUSG00000002372	ENSMMUG00000011964	p_OG0000303	PCHAS_140380	PVX_122010	PBANKA_140190	PF3D7_1303400	PCOAH_00037560	PCYB_141290	PY17X_1403500	4
h_OG0000060	ENSG00000031823	ENSMUSG00000002372	ENSMMUG00000011964	p_OG0000303	PCHAS_140380	PVX_122010	PBANKA_140190	PF3D7_1303400	PCOAH_00037560	PCYB_141290	PY17X_1403500	4
