"Orthogroup"	"Pchabaudi"	"Pvivax"	"Pberghei"	"Pfalciparum"	"Pcoatneyi"	"Pcynomolgi"	"Pyoelii"
"p_OG0000293"	"PCHAS_140270"	"PVX_121950"	"PBANKA_140080"	"PF3D7_1302200"	"PCOAH_00037440"	"PCYB_141170"	"PY17X_1402400"
"p_OG0000294"	"PCHAS_140280"	"PVX_121960"	"PBANKA_140090"	"PF3D7_1302400"	"PCOAH_00037460"	"PCYB_141190"	"PY17X_1402500"
"p_OG0000295"	"PCHAS_140290"	"PVX_121965"	"PBANKA_140100"	"PF3D7_1302500"	"PCOAH_00037470"	"PCYB_141200"	"PY17X_1402600"
"p_OG0000296"	"PCHAS_140300"	"PVX_121970"	"PBANKA_140110"	"PF3D7_1302600"	"PCOAH_00037480"	"PCYB_141210"	"PY17X_1402700"
"p_OG0000297"	"PCHAS_140310"	"PVX_121975"	"PBANKA_140120"	"PF3D7_1302700"	"PCOAH_00037490"	"PCYB_141220"	"PY17X_1402800"
"p_OG0000298"	"PCHAS_140320"	"PVX_121980"	"PBANKA_140130"	"PF3D7_1302800"	"PCOAH_00037500"	"PCYB_141230"	"PY17X_1402900"
"p_OG0000299"	"PCHAS_140330"	"PVX_121985"	"PBANKA_140140"	"PF3D7_1302900"	"PCOAH_00037510"	"PCYB_141240"	"PY17X_1403000"
"p_OG0000300"	"PCHAS_140340"	"PVX_121990"	"PBANKA_140150"	"PF3D7_1303000"	"PCOAH_00037520"	"PCYB_141250"	"PY17X_1403100"
"p_OG0000301"	"PCHAS_140350"	"PVX_121995"	"PBANKA_140160"	"PF3D7_1303100"	"PCOAH_00037530"	"PCYB_141260"	"PY17X_1403200"
"p_OG0000302"	"PCHAS_140370"	"PVX_122005"	"PBANKA_140180"	"PF3D7_1303300"	"PCOAH_00037550"	"PCYB_141280"	"PY17X_1403400"
"p_OG0000303"	"PCHAS_140380"	"PVX_122010"	"PBANKA_140190"	"PF3D7_1303400"	"PCOAH_00037560"	"PCYB_141290"	"PY17X_1403500"
"p_OG0000304"	"PCHAS_140390"	"PVX_122015"	"PBANKA_140200"	"PF3D7_1303500"	"PCOAH_00037570"	"PCYB_141300"	"PY17X_1403600"
"p_OG0000305"	"PCHAS_140400"	"PVX_122020"	"PBANKA_140210"	"PF3D7_1303600"	"PCOAH_00037580"	"PCYB_141310"	"PY17X_1403700"
"p_OG0000306"	"PCHAS_140410"	"PVX_122025"	"PBANKA_140220"	"PF3D7_1303700"	"PCOAH_00037590"	"PCYB_141320"	"PY17X_1403800"
"p_OG0000307"	"PCHAS_140420"	"PVX_122030"	"PBANKA_140230"	"PF3D7_1303800"	"PCOAH_00037600"	"PCYB_141330"	"PY17X_1403900"
"p_OG0000308"	"PCHAS_140430"	"PVX_122035"	"PBANKA_140240"	"PF3D7_1303900"	"PCOAH_00037610"	"PCYB_141340"	"PY17X_1404000"
"p_OG0000309"	"PCHAS_140440"	"PVX_122040"	"PBANKA_140250"	"PF3D7_1304000"	"PCOAH_00037620"	"PCYB_141350"	"PY17X_1404100"
"p_OG0000310"	"PCHAS_140450"	"PVX_122045"	"PBANKA_140260"	"PF3D7_1304100"	"PCOAH_00037630"	"PCYB_141360"	"PY17X_1404200"
"p_OG0000311"	"PCHAS_140470"	"PVX_122055"	"PBANKA_140280"	"PF3D7_1304300"	"PCOAH_00037650"	"PCYB_141380"	"PY17X_1404400"
"p_OG0000312"	"PCHAS_140480"	"PVX_122060"	"PBANKA_140290"	"PF3D7_1304400"	"PCOAH_00037660"	"PCYB_141390"	"PY17X_1404500"
"p_OG0000313"	"PCHAS_140490"	"PVX_122065"	"PBANKA_140300"	"PF3D7_1304500"	"PCOAH_00037670"	"PCYB_141400"	"PY17X_1404600"
"p_OG0000314"	"PCHAS_140500"	"PVX_122070"	"PBANKA_140310"	"PF3D7_1304600"	"PCOAH_00037680"	"PCYB_141410"	"PY17X_1404700"
"p_OG0000315"	"PCHAS_140510"	"PVX_122075"	"PBANKA_140320"	"PF3D7_1304700"	"PCOAH_00037690"	"PCYB_141420"	"PY17X_1404800"
"p_OG0000316"	"PCHAS_140530"	"PVX_122080"	"PBANKA_140340"	"PF3D7_1304900"	"PCOAH_00037720"	"PCYB_141440"	"PY17X_1405100"
"p_OG0000317"	"PCHAS_140540"	"PVX_122085"	"PBANKA_140350"	"PF3D7_1305000"	"PCOAH_00037730"	"PCYB_141450"	"PY17X_1405200"
"p_OG0000318"	"PCHAS_140550"	"PVX_122090"	"PBANKA_140360"	"PF3D7_1305100"	"PCOAH_00037740"	"PCYB_141460"	"PY17X_1405300"
"p_OG0000319"	"PCHAS_140560"	"PVX_122095"	"PBANKA_140370"	"PF3D7_1305200"	"PCOAH_00037750"	"PCYB_141470"	"PY17X_1405400"
"p_OG0000320"	"PCHAS_140570"	"PVX_122100"	"PBANKA_140380"	"PF3D7_1305300"	"PCOAH_00037760"	"PCYB_141480"	"PY17X_1405500"
"p_OG0000321"	"PCHAS_140580"	"PVX_122105"	"PBANKA_140390"	"PF3D7_1305400"	"PCOAH_00037770"	"PCYB_141490"	"PY17X_1405600"
"p_OG0000322"	"PCHAS_140590"	"PVX_122110"	"PBANKA_140400"	"PF3D7_1305500"	"PCOAH_00037780"	"PCYB_141500"	"PY17X_1405700"
"p_OG0000323"	"PCHAS_140600"	"PVX_122115"	"PBANKA_140410"	"PF3D7_1305600"	"PCOAH_00037790"	"PCYB_141510"	"PY17X_1405800"
"p_OG0000324"	"PCHAS_140610"	"PVX_122120"	"PBANKA_140420"	"PF3D7_1305700"	"PCOAH_00037800"	"PCYB_141520"	"PY17X_1405900"
"p_OG0000325"	"PCHAS_140620"	"PVX_122125"	"PBANKA_140430"	"PF3D7_1305800"	"PCOAH_00037810"	"PCYB_141530"	"PY17X_1406000"
"p_OG0000326"	"PCHAS_140630"	"PVX_122130"	"PBANKA_140440"	"PF3D7_1305900"	"PCOAH_00037820"	"PCYB_141540"	"PY17X_1406100"
"p_OG0000327"	"PCHAS_140660"	"PVX_122145"	"PBANKA_140470"	"PF3D7_1306200"	"PCOAH_00037840"	"PCYB_141570"	"PY17X_1406400"
"p_OG0000328"	"PCHAS_140670"	"PVX_122150"	"PBANKA_140480"	"PF3D7_1306300"	"PCOAH_00037850"	"PCYB_141580"	"PY17X_1406500"
"p_OG0000329"	"PCHAS_140680"	"PVX_122155"	"PBANKA_140490"	"PF3D7_1306400"	"PCOAH_00037860"	"PCYB_141590"	"PY17X_1406600"
"p_OG0000330"	"PCHAS_140690"	"PVX_122160"	"PBANKA_140500"	"PF3D7_1306500"	"PCOAH_00037870"	"PCYB_141600"	"PY17X_1406700"
"p_OG0000331"	"PCHAS_140700"	"PVX_122165"	"PBANKA_140510"	"PF3D7_1306600"	"PCOAH_00037880"	"PCYB_141610"	"PY17X_1406800"
