"Orthogroup"	"human"	"mouse"	"monkey"
"h_OG0000001"	"ENSG00000198888"	"ENSMUSG00000064341"	"ENSMMUG00000028699"
"h_OG0000002"	"ENSG00000198763"	"ENSMUSG00000064345"	"ENSMMUG00000028695"
"h_OG0000003"	"ENSG00000198804"	"ENSMUSG00000064351"	"ENSMMUG00000028689"
"h_OG0000004"	"ENSG00000198712"	"ENSMUSG00000064354"	"ENSMMUG00000028686"
"h_OG0000005"	"ENSG00000228253"	"ENSMUSG00000064356"	"ENSMMUG00000028684"
"h_OG0000006"	"ENSG00000198899"	"ENSMUSG00000064357"	"ENSMMUG00000028683"
"h_OG0000007"	"ENSG00000198938"	"ENSMUSG00000064358"	"ENSMMUG00000028682"
"h_OG0000008"	"ENSG00000198840"	"ENSMUSG00000064360"	"ENSMMUG00000028680"
"h_OG0000009"	"ENSG00000212907"	"ENSMUSG00000065947"	"ENSMMUG00000028678"
"h_OG0000010"	"ENSG00000198886"	"ENSMUSG00000064363"	"ENSMMUG00000028677"
"h_OG0000011"	"ENSG00000198786"	"ENSMUSG00000064367"	"ENSMMUG00000028673"
"h_OG0000012"	"ENSG00000198695"	"ENSMUSG00000064368"	"ENSMMUG00000028672"
"h_OG0000013"	"ENSG00000198727"	"ENSMUSG00000064370"	"ENSMMUG00000028670"
"h_OG0000014"	"ENSG00000137275"	"ENSMUSG00000021408"	"ENSMMUG00000008485"
"h_OG0000015"	"ENSG00000205765"	"ENSMUSG00000041935"	"ENSMMUG00000003968"
"h_OG0000016"	"ENSG00000137177"	"ENSMUSG00000021375"	"ENSMMUG00000010731"
"h_OG0000017"	"ENSG00000185340"	"ENSMUSG00000034201"	"ENSMMUG00000021376"
"h_OG0000018"	"ENSG00000214978"	"ENSMUSG00000097886"	"ENSMMUG00000018089"
"h_OG0000019"	"ENSG00000184544"	"ENSMUSG00000033044"	"ENSMMUG00000011968"
"h_OG0000020"	"ENSG00000167193"	"ENSMUSG00000017776"	"ENSMMUG00000040390"
"h_OG0000021"	"ENSG00000204539"	"ENSMUSG00000039518"	"ENSMMUG00000015676"
"h_OG0000022"	"ENSG00000112851"	"ENSMUSG00000021709"	"ENSMMUG00000007683"
"h_OG0000023"	"ENSG00000204538"	"ENSMUSG00000024409"	"ENSMMUG00000044514"
"h_OG0000024"	"ENSG00000137806"	"ENSMUSG00000027305"	"ENSMMUG00000044445"
"h_OG0000025"	"ENSG00000107295"	"ENSMUSG00000028488"	"ENSMMUG00000011704"
"h_OG0000026"	"ENSG00000176595"	"ENSMUSG00000055675"	"ENSMMUG00000045772"
"h_OG0000027"	"ENSG00000164366"	"ENSMUSG00000021578"	"ENSMMUG00000040222"
"h_OG0000028"	"ENSG00000100276"	"ENSMUSG00000034209"	"ENSMMUG00000021378"
"h_OG0000029"	"ENSG00000171877"	"ENSMUSG00000027238"	"ENSMMUG00000022777"
"h_OG0000030"	"ENSG00000137815"	"ENSMUSG00000027304"	"ENSMMUG00000015482"
"h_OG0000031"	"ENSG00000139505"	"ENSMUSG00000021987"	"ENSMMUG00000018419"
"h_OG0000032"	"ENSG00000151876"	"ENSMUSG00000022184"	"ENSMMUG00000003966"
"h_OG0000033"	"ENSG00000119318"	"ENSMUSG00000028426"	"ENSMMUG00000014944"
"h_OG0000034"	"ENSG00000088756"	"ENSMUSG00000024043"	"ENSMMUG00000014506"
"h_OG0000035"	"ENSG00000148229"	"ENSMUSG00000028394"	"ENSMMUG00000044537"
"h_OG0000036"	"ENSG00000166912"	"ENSMUSG00000030522"	"ENSMMUG00000009428"
"h_OG0000037"	"ENSG00000172817"	"ENSMUSG00000039519"	"ENSMMUG00000004411"
